"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01054",0,52,0.0266617252016198,NA,NA,54.9646516687014,6.65423032475749,41.9449385560397,68.0387125547103,-4.55340408768357,0.0567335352615611,-4.66403119277531,-4.44152754764892
"fitted.Predictor.01055",0,52.5,0.0674114490239653,NA,NA,53.6599636338773,6.59649692476364,40.7540820173744,66.6210623935599,-4.55898375776709,0.0564348039524885,-4.6690289981917,-4.44769693763546
"fitted.Predictor.01056",0,53,0.108161172846311,NA,NA,52.3409683821923,6.53822054102803,39.5499747252993,65.1880160784208,-4.56446940056056,0.056163057510876,-4.67398491375839,-4.45371861516179
"fitted.Predictor.01057",0,53.5,0.148910896668656,NA,NA,51.0076659081533,6.48041352322726,38.3306289497587,63.7418983811946,-4.5698612355455,0.0559246083502046,-4.67891132848719,-4.45958021443558
"fitted.Predictor.01058",0,54,0.189660620491002,NA,NA,49.6600562049929,6.42423601887071,37.093767187331,62.2849232601599,-4.57515949494946,0.0557263722760277,-4.6838218130826,-4.46526818902713
"fitted.Predictor.01059",0,54.5,0.230410344313347,NA,NA,48.2981392645592,6.37100063292977,35.8368132500125,60.8193508313876,-4.58036441779925,0.055575835262508,-4.68873105281119,-4.47076787819609
"fitted.Predictor.01060",0,55,0.271160068135692,NA,NA,46.9219150772319,6.32217429732663,34.5568889075562,59.3480575109882,-4.58547624220642,0.0554810038864762,-4.69365474795584,-4.47606360538049
"fitted.Predictor.01061",0,55.5,0.311909791958038,NA,NA,45.5313836318789,6.27937604589962,33.2508186373451,57.874219945713,-4.59049519589825,0.0554503373101186,-4.69860947802052,-4.48113881267616
"fitted.Predictor.01062",0,56,0.352659515780383,NA,NA,44.126544915874,6.24436923322611,31.9151453259825,56.4013001417252,-4.59542148522769,0.0554926594148417,-4.70361252739819,-4.48597623361043
"fitted.Predictor.01063",0,56.5,0.393409239602729,NA,NA,42.7073989151964,6.21904670399382,30.5461598036097,54.9330167004799,-4.60025528316674,0.0556170507332387,-4.70868167244577,-4.4905581043299
"fitted.Predictor.01064",0,57,0.434158963425074,NA,NA,41.2739456146267,6.20540759483693,29.1399467202071,53.4732995072049,-4.6049967170781,0.0558327212579231,-4.71383493273815,-4.49486641056453
"fitted.Predictor.01065",0,57.5,0.47490868724742,NA,NA,39.8261849980487,6.205524913439,27.6924483420544,52.0262261145593,-4.60964585731987,0.0561488668923513,-4.71909029247165,-4.49888316460077
