"","Pstd","H","Hstd","Diststd","meandVstd","Int_diff_mean","Int_err_mean","Int_diff_sd","Int_err_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_0.025quant","Int_err_0.975quant"
"7068",0.69,69,1.83383602978763,-1.45443434410704e-17,-4.0206860982315e-17,0.181943243108295,-1.64344876432716,0.109583832072534,0.109583832072534,-0.026082649767638,0.407754554171432,-1.87108182072526,-1.41486330231756
"7069",0.69,69.5,1.8804245868976,-1.45443434410704e-17,-4.0206860982315e-17,0.175199090468925,-1.64532000845209,0.110738161386293,0.110738161386293,-0.0352142522915747,0.403051972322093,-1.8780345361404,-1.41158935162739
"7070",0.69,70,1.92701314400757,-1.45443434410704e-17,-4.0206860982315e-17,0.168378584918218,-1.64722570332577,0.111948116976788,0.111948116976788,-0.0445586184335535,0.398361885466487,-1.88520179092311,-1.40816453239802
"7071",0.7,20,-2.73184256698958,-1.45443434410704e-17,-4.0206860982315e-17,0.469603602102977,-1.63390562552724,0.108430541315428,0.108430541315428,0.265230588672897,0.694527783993897,-1.85688168877402,-1.4065245767096
"7072",0.7,20.5,-2.68525400987961,-1.45443434410704e-17,-4.0206860982315e-17,0.470347142865981,-1.63246747406225,0.107703261058944,0.107703261058944,0.267446290752319,0.693981662072811,-1.85213363336971,-1.40857295067571
"7073",0.7,21,-2.63866545276964,-1.45443434410704e-17,-4.0206860982315e-17,0.471012861593683,-1.6310650224394,0.107014855137303,0.107014855137303,0.269516934116423,0.693436572717092,-1.84756658338717,-1.41049922271008
"7074",0.7,21.5,-2.59207689565967,-1.45443434410704e-17,-4.0206860982315e-17,0.471600755552523,-1.62969835330534,0.106364032906408,0.106364032906408,0.271438687949573,0.69288096002261,-1.8431791854271,-1.41230616999063
"7075",0.7,22,-2.5454883385497,-1.45443434410704e-17,-4.0206860982315e-17,0.472110832816476,-1.62836753859536,0.105749487476629,0.105749487476629,0.273213468392417,0.692306106948948,-1.83896979532694,-1.41399683344903
"7076",0.7,22.5,-2.49889978143972,-1.45443434410704e-17,-4.0206860982315e-17,0.472543101870397,-1.62707263835411,0.105169902282156,0.105169902282156,0.274842594965361,0.691711057312298,-1.83493644231786,-1.41557450860017
"7077",0.7,23,-2.45231122432975,-1.45443434410704e-17,-4.0206860982315e-17,0.472897570171399,-1.62581371004379,0.104623944149817,0.104623944149817,0.27632760403027,0.691094447057026,-1.83107105208257,-1.4170491048098
"7078",0.7,23.5,-2.40572266721978,-1.45443434410704e-17,-4.0206860982315e-17,0.473174244176496,-1.6245907809243,0.104110268085628,0.104110268085628,0.277621360150992,0.690454611234676,-1.82736387595297,-1.41842025455597
"7079",0.7,24,-2.35913411010981,-1.45443434410704e-17,-4.0206860982315e-17,0.473373144210611,-1.62340386554213,0.103627532817541,0.103627532817541,0.278754645500592,0.689789764489098,-1.82381512684765,-1.41968860359135
"7080",0.7,24.5,-2.31254555299984,-1.45443434410704e-17,-4.0206860982315e-17,0.473494259832485,-1.62225296839991,0.103174379661679,0.103174379661679,0.27974321993523,0.689097789464073,-1.82047354006988,-1.42085831699611
"7081",0.7,25,-2.26595699588987,-1.45443434410704e-17,-4.0206860982315e-17,0.473537594536907,-1.62113807989909,0.102749434264736,0.102749434264736,0.280599917609522,0.688376998807764,-1.8173254875483,-1.42193378585465
"7082",0.7,25.5,-2.21936843877989,-1.45443434410704e-17,-4.0206860982315e-17,0.473503157010723,-1.62005917640417,0.102351345385468,0.102351345385468,0.281335965340349,0.687624744750883,-1.81432405329628,-1.42291960011514
"7083",0.7,26,-2.17277988166992,-1.45443434410704e-17,-4.0206860982315e-17,0.473390957293696,-1.61901622089932,0.101978749336766,0.101978749336766,0.281946998769269,0.68683797249283,-1.81146664711729,-1.42382052161624
"7084",0.7,26.5,-2.12619132455995,-1.45443434410704e-17,-4.0206860982315e-17,0.473200991901327,-1.61800916331782,0.101630297499352,0.101630297499352,0.282434660123484,0.686014626710182,-1.80875019091524,-1.42464145746701
"7085",0.7,27,-2.07960276744998,-1.45443434410704e-17,-4.0206860982315e-17,0.472933262089796,-1.61703794175987,0.101304660358297,0.101304660358297,0.282800882473793,0.685152639297714,-1.80617117276279,-1.42538743405005
"7086",0.7,27.5,-2.03301421034001,-1.45443434410704e-17,-4.0206860982315e-17,0.472587769978453,-1.61610248367049,0.101000526689574,0.101000526689574,0.283047701269319,0.684249917903278,-1.80372570473086,-1.42606357160765
"7087",0.7,28,-1.98642565323004,-1.45443434410704e-17,-4.0206860982315e-17,0.472164517222479,-1.61520271523743,0.100716605537821,0.100716605537821,0.283177229663608,0.683304359310309,-1.80140355045471,-1.42668063976782
"7088",0.7,28.5,-1.93983709612007,-1.45443434410704e-17,-4.0206860982315e-17,0.471663505063818,-1.61433854040157,0.100451629265145,0.100451629265145,0.283191636056943,0.682313868692348,-1.79919805459161,-1.42723977744632
