gridcell,marram_san,mean_diff,sd_diff,n,mean_15,mean_19,X,Y,dist_HW,ID_sectie,join_ID,join_KRIBV,join_KD,join_KD_nr,join_Opp_m,distance
22470199210.000000000000000,0.020000000000000,0.078855769230769,0.271991538723224,"312",11.150884615384600,11.229740384615400,"22470","199210",156.993556385297381,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,9.726839264432350
22470199230.000000000000000,0.054800000000000,0.075426900584795,0.199934547006147,"342",14.168459064327500,14.243885964912300,"22470","199230",139.006199302966195,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199250.000000000000000,0.004000000000000,0.024838414634146,0.255294376081106,"328",11.745777439024399,11.770615853658500,"22470","199250",121.018842220607240,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199270.000000000000000,0.185200000000000,0.041468842729970,0.186820084086273,"337",9.890121661721070,9.931590504451041,"22470","199270",103.031485138249877,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199290.000000000000000,0.366400000000000,0.337388888888889,0.265423808662467,"360",9.349591666666672,9.686980555555561,"22470","199290",85.044128055890937,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199310.000000000000000,0.940000000000000,0.878572222222222,0.254409875479640,"360",8.862580555555560,9.741152777777780,"22470","199310",67.056770973558159,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199330.000000000000000,1.000000000000000,0.205764542936288,0.147418517852986,"361",5.727193905817180,5.932958448753460,"22470","199330",49.069413891200803,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199350.000000000000000,1.000000000000000,0.140811634349030,0.031726662076054,"361",4.870440443213300,5.011252077562330,"22470","199350",31.082056808841852,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199370.000000000000000,1.000000000000000,0.128246537396122,0.032726520768150,"361",4.398069252077560,4.526315789473680,"22470","199370",13.094699726482906,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22490199050.000000000000000,0.003200000000000,,,"0",,,"22490","199050",309.636267182440690,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,163.327283301669183
22490199070.000000000000000,0.122800000000000,,,"0",,,"22490","199070",291.648910100083299,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,145.177385631634507
